Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'blackberry',b'BlackBerry KEY2 LE',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 40(2300), 41(2500) - BBE100-1, BBE100-4 DS (EU, Africa, AU)'","b'HSPA, LTE-A'","b'2018, August'","b'Available. Released 2018, October'",b'150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in)',b'156 g (5.50 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 256 GB'","b'32/64 GB, 4 GB RAM'",b'8 MP',"b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 28(700), 29(700), 66(1700/2100), 38(2600), 39(1900), 40(2300), 41(2500) - BBE100-2, BBE100-5 DS (NA, LATAM)'","b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, proximity, compass'",b'Capacitive touch 4-row BlackBerry keyboard',"b'Slate, Champagne, Atomic'",b'Corning Gorilla Glass (unspecified version)',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core 1.8 GHz Kryo 260',b'Adreno 509',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.4, 1.12\xc2\xb5m, depth sensor'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',b'BBE100-4',b'Non-removable Li-Ion 3000 mAh battery',b'About 330 EUR',,,,,,,"b'Aluminum frame, plastic back'",,,,,,,b'0.78 W/kg (head) \xc2\xa0 \xc2\xa0 1.61 W/kg (body)',,,,,,b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 1.17 W/kg (body)',b'QWERTY',,,,,,,,
b'blackberry',b'BlackBerry Evolve X',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in)',b'170 g (5.93 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 1 TB'","b'64 GB, 6 GB RAM'","b'16 MP, f/2.0'",b'1080p@30fps',,b'1080p@30/60fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic Dolby Atmos sound',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, SBAS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4000 mAh battery',b'Black',b'Corning Gorilla Glass 5',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',b'Adreno 512',"b'12 MP, f/1.8, 1/2.8"", 1.29\xc2\xb5m, PDAF 13 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, 2\xd1\x85 optical zoom, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'LED flash',,,,b'About 350 EUR',,b'Fast battery charging 18W (Quick Charge 3.0) USB Power Delivery 2.0 Wireless charging',,,,,b'Aluminum frame (7000 series)',,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Evolve',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, August'","b'Available. Released 2018, October'",b'158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in)',b'170 g (5.93 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 256 GB'","b'64 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p@30/60fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4000 mAh battery',b'Black',b'Corning Gorilla Glass 5',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',"b'13 MP, 1/3.1"", 1.12\xc2\xb5m, PDAF 13 MP B/W, 1/3.1"", 1.12\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",b'LED flash',,b'BBG100-1',,b'About 300 EUR',,b'Fast battery charging 18W (Quick Charge 3.0) USB Power Delivery 2.0',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry KEY2',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBF100-6 model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - EU, Africa, AU (BBF100-1)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps'","b'2018, June'","b'Available. Released 2018, June'",b'151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in)',b'168 g (5.93 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBF100-6 only'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 256 GB'","b'64/128 GB, 6 GB RAM'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'","b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Canada, US, LATAM (BBF100-2)'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS2'",b'FM radio',"b'3.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - ME, APAC, India (BBF100-6)'","b'Black, Silver, Red'",b'Corning Gorilla Glass 3',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',b'Adreno 512',"b'12 MP, f/1.8, 1/2.3"", 1.28\xc2\xb5m, dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'BBF100-6, BBF100-1, BBF100-2'",b'Non-removable Li-Ion 3500 mAh battery',b'About 500 EUR',,b'Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0)',,,,,"b'Aluminum frame (7000 series), plastic back'",,,,,,,b'0.72 W/kg (head) \xc2\xa0 \xc2\xa0 1.68 W/kg (body)',"b'Contrast ratio: 1572 (nominal), 3.212 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 72dB / Ring 79dB',b'Noise -90.7dB / Crosstalk -94.2dB',b'Endurance rating 86h',,b'QWERTY',,,,,,,b'Basemark OS II: 2850 / Basemark OS II 2.0: 2391Basemark X: 20665',
b'blackberry',b'BlackBerry Motion',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - BBD100-6 (EU, Global)'","b'HSPA, LTE'","b'2017, October'","b'Available. Released 2017, December'",b'155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in)',b'167 g (5.89 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 82.6 cm2 (~70.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~403 ppi density)'",b'Android 7.1 (Nougat)',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'32 GB, 4 GB RAM'","b'12 MP, f/2.0, PDAF'","b'2160p@30fps, 1080p@30fps'","b'8 MP, f/2.2, 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 29(700), 30(2300), 66(1700/2100) - BBD100-2 (USA)'","b'Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.2, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS, BDS2'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",b'IP67 dust/water resistant (up to 1m for 30 mins)',b'Black',b'Scratch-resistant glass',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',,"b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'BBD100-1, BBD100-6'",b'Non-removable Li-Ion 4000 mAh battery',b'About 390 EUR',,b'Fast battery charging 18W (Quick Charge 3.0)',,,,,"b'Aluminum frame, plastic back'",,,,,,,,,b'Photo / Video',b'Voice 66dB / Noise 69dB / Ring 77dB',,b'Endurance rating 94h',,,,,,,,,b'Basemark OS II: 1104 / Basemark OS II 2.0: 1126Basemark X: 10242',
b'blackberry',b'BlackBerry Aurora',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in)',b'178 g (6.28 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 7.0 (Nougat)',"b'microSD, up to 256 GB'","b'32 GB, 4 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 3000 mAh battery',"b'Black, Silver, Gold'",,b'Qualcomm MSM8917 Snapdragon 425 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Adreno 308',,"b'Dual-LED flash, HDR, panorama'",,,b'BBC100-1',,b'About 200 EUR',,,,,,,b'Plastic body',,,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Keyone',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBB100-4 only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800), 28(700), 38(2600), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat9 450/50 Mbps'","b'2017, February'","b'Available. Released 2017, April'",b'149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in)',b'180 g (6.35 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBB100-4 only'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)'","b'1080 x 1620 pixels, 3:2 ratio (~434 ppi density)'","b'Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo)'","b'microSD, up to 256 GB'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'12 MP, f/2.0, 1/2.3"", 1.55\xc2\xb5m, PDAF'",b'2160p@30fps',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',b'Capacitive touch 4-row BlackBerry keyboard',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS2'",b'FM radio',"b'3.1, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black/Silver, Black, Bronze'",b'Corning Gorilla Glass 4',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',,"b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'BBB100-2, BBB100-7, BBB100-1, BBB100-5'",b'Non-removable Li-Ion 3500 mAh battery',b'About 290 EUR',,b'Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0)',,,,,"b'Aluminum frame, plastic back'",,,,,,,,b'Contrast ratio: 1756:1 (nominal)',b'Photo / Video',b'Voice 62dB / Noise 66dB / Ring 67dB',b'Noise -92.2dB / Crosstalk -96.4dB',b'Endurance rating 81h',,b'QWERTY',,,,,,,b'Basemark OS II: 1169 / Basemark OS II 2.0: 1132Basemark X: 10445',
b'blackberry',b'BlackBerry DTEK60',b'https://cdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA, EMEA'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700) - USA'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2016, October'","b'Available. Released 2016, October'",b'153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in)',b'165 g (5.82 oz)',b'Nano-SIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~534 ppi density)'",b'Android 6.0 (Marshmallow)',"b'microSD, up to 1 TB (dedicated slot)'","b'32 GB, 4 GB RAM'","b'21 MP, f/2.0, PDAF'","b'2160p@30fps, 720p@120fps'","b'8 MP, f/2.2'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 19(800), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',b'Black',"b'Scratch-resistant glass, oleophobic coating'",b'Qualcomm MSM8996 Snapdragon 820 (14 nm)',b'Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)',b'Adreno 530',,"b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'BBA100-2, BBA100-1'",b'Non-removable Li-Ion 3000 mAh battery',b'About 250 EUR',,b'Fast battery charging 18W (Quick Charge 3.0)',b'Up to 336 h (3G)',b'Up to 26 h (3G)',,,,b'Up to 88 h',,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry DTEK50',b'https://cdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700), 30(2300) - USA'","b'HSPA, LTE'","b'2016, July'","b'Available. Released 2016, August'",b'147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in)',b'135 g (4.76 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 6.0 (Marshmallow)',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'16 GB, 3 GB RAM'","b'13 MP, f/2.0, PDAF'",b'1080p@30fps',"b'8 MP, f/2.2'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'HSDPA 850 / 900 / 1900 / 2100 - EMEA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'LTE band 1(2100), 2(1900), 3(1800), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA'",b'Black',"b'Scratch-resistant glass, oleophobic coating'",b'Qualcomm MSM8952 Snapdragon 617 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53)',b'Adreno 405',,"b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'STH100-2, STH100-1'",b'Non-removable Li-Ion 2610 mAh battery',b'About 200 EUR',,b'Fast battery charging 18W: 50% in 51 min (Quick Charge 2.0)',b'Up to 576 h (3G)',b'Up to 17 h (3G)',,,,b'Up to 40 h',,,,,,,,,,,,,,,,,,,,,
b'blackberry',b'BlackBerry Priv',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA (STV100-1), Europe (STV100-4)'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700), 30(2300) - USA (STV100-1)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2015, October'","b'Available. Released 2015, November'",b'147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in)',b'192 g (6.77 oz)',b'Nano-SIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'5.4 inches, 81.6 cm2 (~71.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~540 ppi density)'","b'Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)'","b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 3 GB RAM'","b'18 MP, f/2.2, 27mm (wide), 1/2.4"", PDAF, OIS'","b'2160p@30fps, 1080p@60fps'",b'2 MP',b'720p',b'Yes',b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 7(2600), 8(900), 13(700), 17(700), 20(800), 28(700) - Europe (STV100-4)'","b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.1, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0 (SlimPort 4K)',"b'Accelerometer, altimeter, gyro, ToF proximity, compass'",b'Capacitive touch 4-row BlackBerry keyboard',b'Black',b'Corning Gorilla Glass 4',b'Qualcomm MSM8992 Snapdragon 808 (20 nm)',b'Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)',b'Adreno 418',,"b'Schneider-Kreuznach optics, dual-LED dual-tone flash, HDR, panorama'",,b'Yes',"b'STV100-4, STV100-3, STV100-1, V100, STV100-2'",b'Non-removable Li-Ion 3410 mAh battery',b'About 270 EUR',,b'Fast battery charging 18W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent)',b'Up to 420 h (3G)',b'Up to 24 h (3G)',,,b'Plastic body',b'Up to 73 h',,,,,,,,b'Photo / Video',,,b'Endurance rating 62h',,b'QWERTY',,,,,,,,
b'blackberry',b'BlackBerry Leap',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700 / 1900 / 2100 - North America',"b'LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 13(700), 17(700) - North America'","b'HSPA, LTE'","b'2015, March'","b'Available. Released 2015, April'",b'144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in)',b'170 g (6.00 oz)',b'Micro-SIM',"b'IPS LCD, capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'BlackBerry OS 10.3.1',"b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.2, 31mm (standard), AF'","b'1080p@30fps, 720p@60fps'",b'2 MP',b'720p',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1900 / 2100 - Global',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global'","b'Black, White'",,b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',,"b'LED flash, HDR, panorama'",,,,b'Non-removable Li-Ion 2800 mAh battery',b'About 80 EUR',,,,b'Up to 25 h',,,,,,,,,,,,b'Photo / Video',,,b'Endurance rating 45h',,,,,,,,,,
b'blackberry',b'BlackBerry Classic Non Camera',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 4(1700/2100), 13(700)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2015, February'","b'Available. Released 2015, March'",b'131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in)',b'178 g (6.28 oz)',b'Nano-SIM',"b'IPS LCD, capacitive touchscreen, 16M colors'","b'3.5 inches, 39.5 cm2 (~41.7% screen-to-body ratio)'","b'720 x 720 pixels, 1:1 ratio (~291 ppi density)'",b'BlackBerry OS 10.3.1',"b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 2 GB RAM'",,,,,b'Yes',b'Yes',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass'",b'CDMA2000 1xEV-DO',b'Black',b'Corning Gorilla Glass 3',,b'Dual-core 1.5 GHz Krait',,,,,b'Yes',,b'Non-removable Li-Ion 2500 mAh battery',b'About 180 EUR',,,b'Up to 384 h (3G)',b'Up to 22 h (3G)',,,,,,,,,,,,,,,,b'1.41 W/kg (head) \xc2\xa0 \xc2\xa0 0.78 W/kg (body)',b'QWERTY',,,,,,,,
